Date,Open,High,Low,Close,Volume,Adj Close
12/30/2011,16.18,16.21,16.03,16.13,10832800,16.13
12/29/2011,15.95,16.23,15.8,16.13,15280900,16.13
12/28/2011,16.03,16.05,15.67,15.78,14679900,15.78
12/27/2011,16.16,16.17,16.01,16.09,9739500,16.09
12/23/2011,16.05,16.26,15.87,16.19,17865900,16.19
12/22/2011,16.36,16.4,15.95,16,33812800,16
12/21/2011,15.15,16.24,14.74,15.99,47127600,15.99
12/20/2011,14.68,15.19,14.68,15.11,15885700,15.11
12/19/2011,14.95,15,14.57,14.62,21447300,14.62
12/16/2011,15.05,15.26,14.92,14.96,32617200,14.96
12/15/2011,15.21,15.29,15.01,15.16,14829800,15.16
12/14/2011,15.19,15.28,14.8,15.02,27251100,15.02
12/13/2011,15.54,15.74,15.35,15.42,15584400,15.42
12/12/2011,15.71,15.72,15.41,15.47,14689400,15.47
12/9/2011,15.61,15.96,15.6,15.94,13446300,15.94
12/8/2011,15.6,15.76,15.53,15.61,18126100,15.61
12/7/2011,15.82,15.86,15.56,15.62,19750500,15.62
12/6/2011,15.9,16.05,15.84,15.84,17333200,15.84
12/5/2011,16.11,16.14,15.83,15.89,19896500,15.89
12/2/2011,16.31,16.41,16.03,16.05,22714500,16.05
12/1/2011,16.42,16.46,16.09,16.23,47059800,16.23
11/30/2011,15.9,16.04,15.65,15.71,34718200,15.71
11/29/2011,15.6,15.94,15.45,15.7,29294000,15.7
11/28/2011,15.24,15.47,15.21,15.35,19029000,15.35
11/25/2011,15,15.25,14.9,15.1,10781800,15.1
11/23/2011,15.2,15.24,14.83,14.94,20125200,14.94
11/22/2011,14.88,15.08,14.75,14.97,14836000,14.97
11/21/2011,15.19,15.19,14.77,14.99,23676900,14.99
11/18/2011,15.57,15.69,15.37,15.38,17160300,15.38
11/17/2011,15.69,15.77,15.2,15.34,17443700,15.34
11/16/2011,15.8,16.1,15.7,15.72,14367600,15.72
11/15/2011,15.93,16.05,15.7,15.93,17650700,15.93
11/14/2011,16.17,16.31,15.93,16,14277600,16
11/11/2011,15.96,16.31,15.91,16.27,14541600,16.27
11/10/2011,16.18,16.22,15.84,15.95,15366400,15.95
11/9/2011,16.17,16.5,15.87,15.92,45328300,15.92
11/8/2011,15.87,16.18,15.81,15.97,25079700,15.97
11/7/2011,15.26,15.7,15.25,15.69,22390700,15.69
11/4/2011,15.39,15.54,14.95,15.24,41853000,15.24
11/3/2011,15.2,15.5,15.03,15.48,16809500,15.48
11/2/2011,15.1,15.3,15,15.1,20758800,15.1
11/1/2011,14.95,15.08,14.75,14.93,41834700,14.93
10/31/2011,16.06,16.07,15.45,15.64,39763700,15.64
10/28/2011,16.41,16.7,16.25,16.56,20286900,16.56
10/27/2011,16.56,16.7,16.45,16.63,19772200,16.63
10/26/2011,16.33,16.44,15.86,16.3,23630100,16.3
10/25/2011,16.66,16.7,16.18,16.24,24059700,16.24
